Fri Aug 11 21:10:55 2023    ies_detector_profile.stats

         1961858 function calls (1936817 primitive calls) in 7.099 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1038(argsort)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
        1    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       92    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      193    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/shape_base.py:77(_atleast_2d_dispatcher)
       56    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/arraysetops.py:125(_unpack_tuple)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/pandas/core/generic.py:5973(_consolidate_inplace)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:1721(as_array)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/pandas/core/generic.py:5959(_protect_consolidate)
       88    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       88    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/shape_base.py:1187(_tile_dispatcher)
       88    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/shape_base.py:508(_expand_dims_dispatcher)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/pandas/core/generic.py:5977(f)
        2    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/contextlib.py:287(helper)
        2    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/traitlets/traitlets.py:692(__get__)
       56    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/arraysetops.py:133(_unique_dispatcher)
        2    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/contextlib.py:104(__init__)
        2    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/contextlib.py:132(__enter__)
        2    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/contextlib.py:141(__exit__)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/pandas/core/internals/blocks.py:1912(get_values)
        2    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/traitlets/traitlets.py:654(get)
        4    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/IPython/core/compilerop.py:180(extra_flags)
        2    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/IPython/core/interactiveshell.py:3424(compare)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:673(consolidate)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/pandas/core/generic.py:5904(__setattr__)
       10    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Code/spikes/IES_detector.py:28(_check)
        2    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/IPython/core/interactiveshell.py:1229(user_global_ns)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:1846(is_consolidated)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:233(is_single_block)
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/multiarray.py:84(empty_like)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1034(_argsort_dispatcher)


